Link,Title,Author,Publisher,"Publish Date","Place of Publication",Format,"Location & Call Number"
https://discover.cuyahogalibrary.org/GroupedWork/732d035b-d0af-82c8-8661-e3a098307e69-eng,"Bluey: the videogame",,"Outright Games Limited",2023,"[London]; [London, United Kingdom]","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/ba8de99e-4ecb-735e-c917-0dcbd8a1dcb3-eng,"LEGO 2K drive",,"2K Games",2023,"[Novato, California]; [Novato, CA]; Novato, CA","PlayStation 4;PlayStation 5;Xbox One;Xbox 360;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/bf336fb8-c128-a45d-a115-0e9ab7f8b300-eng,"Madden NFL: 23",,"Electronic Arts Inc",2022,"Redwood City, CA; Redwood, CA","PlayStation 4;PlayStation 5;Xbox Series X;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Garfield Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/095d2e01-ad20-70ab-f35c-a7d5486959f5-eng,"Super mega baseball 4",,"Electronic Arts Inc; Electronic Arts",2023,"Redwood City, CA","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/d9a606c6-2341-b1c8-470a-696a844f19a6-eng,"The Smurfs 2: the prisoner of the green stone",,"Microids SA",2023,"Paris, France","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/650d9440-ccc9-5e73-429b-1b271b399048-eng,"Jumanji: Wild Adventures",,"Outright Games Limited",2023,"London, UK","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/11f6aaaf-5b00-5744-c598-a2b48372c2fa-eng,"Sea of stars",,"Sabotage Studio",2024,"[Quebec, Canada]","PlayStation 4;PlayStation 5;Xbox One;Xbox 360;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/f9134d33-0603-6300-80eb-a7b9cc5a4599-eng,"NHL 24",,"Electronic Arts, Inc; Electronic Arts Inc; Electronic Arts",2023,"Redwood City, CA; [Redwood City, CA]","PlayStation 4;PlayStation 5;Xbox Series X;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Berea Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/db1e2e49-38bc-01b0-58ac-548b5eba9485-eng,"Smurfs Kart",,Microids,"2022 - 2023","Paris, France","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/dbddc979-01b6-8db9-3ab8-08fd5756790b-eng,"LEGO Star Wars: the Skywalker saga",,"Warner Bros. Interactive Entertainment; Whv Games","2021 - 2022","Burbank, CA; [Place of publication not identified]","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Middleburg Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/4f25417a-e9b8-c084-69ae-0f6a0fda3ab4-eng,"Sonic origins plus",,"Sega of America, Inc; SEGA of America, Inc",2023,"Irvine, California; Irvine, CA","PlayStation 4;PlayStation 5;Xbox One;Xbox 360;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/5b677643-629a-bbce-5062-651bd1fffb29-eng,"Garfield: lasagna party",,"Microids SA",2022,"Paris, France","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/2b0dcca3-a68c-0974-3fff-d3db8f9fd6ec-eng,"Teenage Mutant Ninja Turtles arcade: wrath of the mutants",,"Game Mill Entertainment",2024,"Edina, MN","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/60aec9ef-5fd1-d51a-24fd-b22647fd80f6-eng,"Teenage Mutant Ninja Turtles: Mutants unleashed",,"Outright Games Limited; Outright Games",2024,"[London, UK]; London","PlayStation 4;PlayStation 5;Xbox One;Xbox 360;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/13be6d81-3650-4bb5-5283-901c9b5475be-eng,"PJ Masks power heroes: mighty alliance",,"Outright Games Limited",2024,London,"PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/6e62cd9d-5099-af75-0038-50f0e6c90c56-eng,"Madden NFL 24",,"Electronic Arts Inc",2023,"Redwood City, CA; [Redwood City, CA]","PlayStation 4;PlayStation 5;Xbox One;Xbox 360","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Garfield Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/654b287c-c066-71ae-ad89-6c3dbb66e26f-eng,"Atari 50: the anniversary celebration",,"Atari, Inc; Atari",2022,"New York, NY; [New York, NY]","PlayStation 4;PlayStation 5;Xbox One;Xbox 360;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/2ff7ede1-b398-caf4-860c-ae5c8f207b29-eng,"Hercule Poirot: the London case",,"Microids SA; Microids, SA",2023,"Paris, France","PlayStation 4;PlayStation 5;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit from Administration"
https://discover.cuyahogalibrary.org/GroupedWork/b86ef6b3-076d-16c3-834a-5baa389846d1-eng,"Hogwarts legacy",,"Warner Bros. Interactive Entertainment",2023,"Burbank, CA; Burbank, California","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::South Euclid-Lyndhurst Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/8b9b6288-3e59-98d3-510b-d8a38520d2fb-eng,"Super monkey ball banana mania",,"Sega of America, Inc; Sega of America; Sega",2021,"Irvine, CA","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/60af5b7c-c817-95b5-ba2f-f484cbd2fae0-eng,"Ninja kidz: time masters",,SelectaPlay,2023,"[Barcelona, Spain]; Barcelona, Spain","PlayStation 4;PlayStation 5;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/3d12c51d-ab9b-377f-b74a-ed9f2b5bbe5f-eng,"Gal guardians: demon purge",,"PQube Ltd","2022 - 2023","Hertfordshire, [England]; [Place of publication unknown]","PlayStation 4;PlayStation 5;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/b56b2053-66d2-85db-254e-930ab6ed3aee-eng,"Pac-Man world: Re-Pac",,"Bandai Namco; Bandai Namco Entertainment America, Inc; Bandai Namco Entertainment America Inc",2022,"Irvine, California; [United States]","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/809b5f85-af6e-84a2-2e10-13b907645d31-eng,"Five Nights at Freddy's: security breach",,"Maximum Games Inc; Maximum Games, LLC",2022,"Walnut Creek, CA","PlayStation 5;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/cbcd04d3-084a-ed0f-9d3b-532330313662-eng,"The Grinch: Christmas adventures",,"Outright Games Limited",2023,London,"PlayStation 4;PlayStation 5;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Parma-Powers Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/629f97dd-17bf-e221-e346-39c318d2380e-eng,"WWE 2K24",,2K,2024,"Novato, CA","PlayStation 4;PlayStation 5;Xbox One;Xbox 360","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/f4d9581e-294b-2a37-c1ec-ca71b8184001-eng,"Miraculous: rise of the Sphinx",,"Game Mill Entertainment; GameMill Entertainment",2022,"Edina, MN; [Edina, MN]","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/78d45fda-757d-2701-2214-79146fcb2792-eng,"Epic Mickey: Rebrushed",,"THQ Nordic : Disney Interactive Studios; THQ Nordic",2024,"[New York]","PlayStation 5;Xbox Series X;Nintendo Switch","PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/6eba57b0-9397-ad7f-4213-8eae4050e760-eng,"Naruto x Boruto ultimate ninja storm connections",,"Bandai Namco Entertainment America Inc",2023,"[Irvine, CA]","PlayStation 4;PlayStation 5;Xbox One;Xbox 360","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Mayfield Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/91de6a7a-5d9a-9537-c12e-8eb7780d3084-eng,"F1 manager 23",,"Sold Out Sales and Marketing Ltd",2023,"London, UK","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/a6844d77-6273-4162-027b-8ab2ae265033-eng,"God of rock",,"Modus; Modus Games","2020 - 2023","Walnut Creek, CA; [United States]","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/fb2cd29d-0412-a74e-c5e8-e43142062aba-eng,"NHL 23",,"Electronic Arts, Inc; Electronic Arts Inc",2022,"Redwood City, CA","PlayStation 4;PlayStation 5;Xbox Series X;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/2a0385ca-b56a-f47b-0634-c0fab7642e3b-eng,"Nickelodeon all-star brawl",,"GameMill Entertainment, LLC; GameMill Entertainment",2021,"Edina, MN","PlayStation 4;PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/bbdfa455-fc28-6c8a-06fc-6164272826f5-eng,"Spider-Man: Miles Morales",,"Sony Interactive Entertainment LLC",2020,"San Mateo, CA","PlayStation 4;PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Garfield Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/aa7c3240-fbc4-bb3d-8f75-b95e08a11e4c-eng,"PGA Tour 2K23",,"2K Games",2022,"Novato, California; Novato, CA","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Richmond Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/16203939-d164-d2e9-f17d-19b11a90bf2b-eng,"FC 25",,"Electronic Arts Inc; Electronic Arts",2024,"Redwood City, CA; [Redwood City, CA]","PlayStation 4;PlayStation 5;Xbox One;Xbox 360","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/f4086567-1ee4-ac64-e745-c873dd91ec63-eng,"JoJo's bizarre adventure: all star battle R",,"Bandai Namco; Bandai Namco Entertainment America Inc",2022,"Irvine, California; [United States]","PlayStation 4;PlayStation 5;Nintendo Switch","PlayStation 5::Garfield Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/acb759c8-e291-b168-8b2d-50f691959403-eng,"F1 2022: the official videogame",,"Electronic Arts",2022,"Redwood City, CA","PlayStation 4;PlayStation 5;Xbox Series X;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/d94242a9-74ec-4ab1-36cf-29321323bdec-eng,"Star Wars: Jedi survivor",,"Electronic Arts Inc","2023 - 2024","Redwood City, CA","PlayStation 4;PlayStation 5;Xbox Series X","PlayStation 5::Brooklyn Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/543139b9-91b7-6c03-451b-c28f4547752a-eng,"One piece: odyssey",,"Bandai Namco Entertainment America Inc",2022,"Irvine, California","PlayStation 4;PlayStation 5;Xbox Series X","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Mayfield Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/30cd76dd-022d-a597-a427-6e4698ef8137-eng,"Lego brawls",,"Bandai Namco Entertainment; Bandai Namco Entertainment America Inc",2022,"Irvine, California","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/77399b47-61c5-7e0b-6910-95277f64f2bf-zxx,"AEW: fight forever",,"THQ Nordic","2022 - 2023","Bohemia, NY","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Berea Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Garfield Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/609afa1d-782e-dcd6-8289-ca8d2c977f12-eng,"Jurassic Park: classic games collection",,"Limited Run Games",2023,"[Apex, North Carolina]; Apex, North Carolina","PlayStation 5;Nintendo Switch","PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/79b5181a-ce5e-5801-05fc-55dd7588eba4-eng,"Survivor: Castaway Island",,Microids,2023,"Paris, France","PlayStation 5;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit from Administration"
https://discover.cuyahogalibrary.org/GroupedWork/383d98b2-9965-84a0-8763-f260737f725c-eng,"Sonic X Shadow generations",,"Sega of America, Inc; SEGA of America; SEGA",2024,"Irvine, California; Irvine, CA","PlayStation 5;Xbox One;Nintendo Switch","PlayStation 5::Parma-Snow Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit,PlayStation 5::Solon Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/d139fdc7-9b50-d447-0489-28a66c869ce0-eng,"Madden NFL: 22",,"Electronic Arts Inc",2021,"Redwood City, California","PlayStation 4;PlayStation 5;Xbox Series X","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/c73ddca0-7cac-43e3-756a-40852a5a9fee-eng,"Dog Man: mission impawsible",,"Mindscape B.V",2024,"[Amstelveen, Netherlands]","PlayStation 5;Nintendo Switch","PlayStation 5::Beachwood Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/ad4d33b6-43b3-f421-8bf4-d3f0c153b678-eng,"NBA 2K22",,2K,2021,"Novato, CA","PlayStation 4;PlayStation 5;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/f3cc7a59-23c1-72b3-5692-8486fa56aded-eng,"Cobra Kai: 2,Dojos rising",,"GameMill Entertainment",2022,"Edina, MN; [United States]","PlayStation 4;PlayStation 5;Nintendo Switch","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/79282abe-447d-6fd7-5d9f-6d8dd4e6564b-eng,"FIFA 22",,"Electronic Arts, Inc",2021,"Redwood City, CA","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/a1e9ad5f-0cf9-378c-ae68-bef7b5026a02-eng,"Ghostbusters: spirits unleashed",,"IIIFonic Inc; IllFonic",2022,"Tacoma, WA","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/c8362644-1b46-9d82-e8f6-42060b12d82f-eng,"Star ocean: The divine force",,"Square Enix, Inc",2022,"El Segundo, CA; [El Segundo, CA]","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/aee8e9b2-0b9c-4eb9-ab2e-b9553deb3056-eng,"Kart racers 3: slime speedway",,"GameMill Entertainment",2022,"Edina, MN","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Bedford Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/4289cb86-00fd-2064-b2c0-d4958ae5c02b-eng,"Tales of Arise",,"Bandai Namco Entertainment America Inc",2021,"Santa Clara, CA","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/e0cbb0ac-412b-3e16-82ae-0f7e45efbe37-eng,"Hello neighbor 2",,"Gearbox Publishing",2022,"Frisco, TX","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/494e3277-448f-1b97-30a7-4c469ae5e0c5-eng,"Metaphor: Refantazio",,"SEGA of America, Inc",2024,"[Irvine, CA]","Xbox Series X;PlayStation 5","PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf,PlayStation 5::Strongsville Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/9b1916d0-fa8c-4697-66aa-b8b0313dfee9-eng,"Formula retro racing: world tour",,"Numskull Games",2023,"Garden City, United Kingdom","PlayStation 4;PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/5a69de6b-cf5f-16b2-9f78-6ad70270e84a-eng,"Riders republic: a Ubisoft original",,"Ubisoft, Inc",2021,"San Francisco, California","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Olmsted Falls Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out"
https://discover.cuyahogalibrary.org/GroupedWork/5dbea2c2-910f-78c6-33a3-2cc16913f3f4-eng,"Avatar: frontiers of Pandora",,Ubisoft,2023,"San Francisco, CA","Xbox Series X;PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf,PlayStation 5::Bay Village Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Warrensville Heights Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - In Transit"
https://discover.cuyahogalibrary.org/GroupedWork/aba9874b-0e2f-453b-9e71-8d0a748f13aa-eng,"Dragon Ball: sparking! zero",,"Bandai Namco Entertainment America, Inc",2024,"Irvine, California","Xbox Series X;PlayStation 5","PlayStation 5::Fairview Park Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - Checked Out,PlayStation 5::Parma-Powers Branch - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Hold Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/1dc20c71-e25a-d190-dce8-517974e71229-eng,"WWE 2K22",,2K,2022,"Novato, CA","PlayStation 5;Xbox Series X;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/3af14e07-a5ae-66d6-4661-3f9e5180e4b4-eng,"WRC generations: the official game",,"Maximum Games",2022,"Walnut Creek, CA","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/47f1ee3c-7dd3-16ca-2590-0a1fa3a8e23c-eng,"F1 2021: the official videogame",,"Electronic Arts",2021,"Redwood City, CA","PlayStation 4;PlayStation 5;Xbox One","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
https://discover.cuyahogalibrary.org/GroupedWork/7b5879de-e954-733e-4bdf-f82097a78020-eng,"Sword and Fairy: together forever",,"Serenity Forge",2023,"Broomsfield, CO","PlayStation 4;PlayStation 5","PlayStation 5::Administration - Juvenile Collection - Audio Visual: VIDEO GAME PS5 - On Shelf"
